iter	Passed	Remaining
387	767	1211
388	769	1207
389	770	1205
390	772	1202
391	773	1199
392	775	1197
393	777	1195
394	779	1193
395	780	1190
396	781	1187
397	782	1184
398	783	1180
399	785	1177
400	786	1175
401	788	1172
402	790	1170
403	791	1167
404	792	1164
405	794	1161
406	795	1158
407	796	1155
408	797	1152
409	799	1149
410	800	1147
411	802	1144
412	803	1142
413	804	1139
414	806	1136
415	807	1133
416	809	1132
417	811	1129
418	813	1127
419	814	1124
420	815	1122
421	817	1119
422	818	1116
423	819	1113
424	821	1111
425	823	1109
426	825	1107
427	826	1104
428	828	1102
429	829	1099
430	831	1097
431	832	1094
432	833	1091
433	835	1089
434	837	1087
435	838	1084
436	841	1083
437	843	1081
438	844	1079
439	846	1077
440	847	1074
441	849	1072
442	851	1070
443	852	1067
444	853	1064
445	855	1062
446	856	1059
447	858	1057
448	859	1055
449	862	1053
450	864	1051
451	866	1050
452	867	1047
453	870	1046
454	871	1044
455	873	1042
456	875	1040
457	877	1038
458	879	1036
459	880	1033
460	881	1030
461	883	1028
462	885	1026
463	886	1024
464	888	1022
465	889	1019
466	891	1017
467	892	1014
468	893	1012
469	895	1009
470	896	1006
471	897	1004
472	900	1002
473	901	1000
474	903	998
475	906	997
476	907	995
477	908	992
478	909	989
479	911	987
480	913	985
481	915	984
482	917	982
483	919	980
484	920	977
485	922	975
486	923	973
487	925	971
488	926	968
489	928	966
490	930	964
491	931	961
492	933	959
493	934	957
494	936	955
495	937	952
496	938	949
497	940	947
498	941	945
499	942	942
500	943	940
501	945	938
502	947	936
503	949	934
504	950	931
505	952	929
506	953	926
507	954	924
508	956	922
509	957	920
510	959	918
511	961	916
512	963	914
513	964	912
514	966	909
515	967	907
516	969	905
517	971	903
518	972	901
519	974	899
520	976	897
521	978	895
522	979	893
523	980	891
524	982	888
525	983	886
526	984	883
527	986	881
528	988	879
529	989	877
530	991	875
531	992	873
532	994	870
533	995	868
534	996	866
535	998	864
536	1000	862
537	1001	860
538	1005	859
539	1006	857
540	1007	855
541	1009	852
542	1010	850
543	1011	848
544	1013	845
545	1014	843
546	1016	841
547	1017	839
548	1019	837
549	1021	835
550	1022	833
551	1023	830
552	1025	828
553	1026	826
554	1027	824
555	1029	821
556	1030	819
557	1031	817
558	1033	815
559	1035	813
560	1037	811
561	1039	810
562	1040	807
563	1042	805
564	1043	803
565	1045	802
566	1047	799
567	1048	797
568	1050	795
569	1052	793
570	1054	791
571	1055	789
572	1056	787
573	1057	785
574	1059	782
575	1060	780
576	1061	778
577	1063	776
578	1064	774
579	1066	772
580	1067	769
581	1069	768
582	1070	765
583	1071	763
584	1073	761
585	1074	759
586	1076	757
587	1077	755
588	1078	752
589	1081	751
590	1083	749
591	1084	747
592	1085	745
593	1086	742
594	1087	740
595	1089	738
596	1090	736
597	1091	733
598	1092	731
599	1094	729
600	1096	727
601	1097	725
602	1098	723
603	1100	721
604	1101	719
605	1102	716
606	1103	714
607	1105	712
608	1106	710
609	1107	708
610	1108	705
611	1110	704
612	1111	701
613	1112	699
614	1114	697
615	1115	695
616	1116	693
617	1118	691
618	1119	689
619	1120	686
620	1122	684
621	1123	682
622	1125	681
623	1126	679
624	1127	676
625	1129	674
626	1130	672
627	1131	670
628	1132	668
629	1134	666
630	1136	664
631	1137	662
632	1138	660
633	1140	658
634	1141	656
635	1143	654
636	1144	652
637	1146	650
638	1147	648
639	1148	646
640	1149	643
641	1150	641
642	1152	639
643	1153	637
644	1155	635
645	1156	633
646	1157	631
647	1158	629
648	1160	627
649	1161	625
650	1163	623
651	1164	621
652	1165	619
653	1167	617
654	1168	615
655	1170	613
656	1171	611
657	1173	609
658	1175	608
659	1176	606
660	1178	604
661	1179	602
662	1181	600
663	1183	598
664	1185	597
665	1186	595
666	1187	593
667	1189	591
668	1190	588
669	1191	586
670	1192	584
671	1194	582
672	1195	580
673	1196	578
674	1197	576
675	1199	574
676	1201	573
677	1202	571
678	1204	569
679	1205	567
680	1206	565
681	1208	563
682	1209	561
683	1211	559
684	1212	557
685	1213	555
686	1215	553
687	1216	551
688	1218	549
689	1219	548
690	1221	546
691	1222	544
692	1223	542
693	1225	540
694	1226	538
695	1228	536
696	1229	534
697	1231	532
698	1232	530
699	1234	528
700	1235	526
701	1236	525
702	1238	523
703	1239	521
704	1240	519
705	1242	517
706	1243	515
707	1245	513
708	1246	511
709	1247	509
710	1249	507
711	1250	505
712	1252	504
713	1253	502
714	1254	500
715	1256	498
716	1257	496
717	1258	494
718	1260	492
719	1262	490
720	1263	488
721	1264	487
722	1266	485
723	1267	483
724	1268	481
725	1270	479
726	1271	477
727	1272	475
728	1273	473
729	1275	471
730	1276	469
731	1278	468
732	1279	466
733	1280	464
734	1282	462
735	1283	460
736	1285	458
737	1286	456
738	1287	454
739	1289	453
740	1291	451
741	1292	449
742	1294	447
743	1295	445
744	1296	443
745	1297	441
746	1298	439
747	1300	438
748	1301	436
749	1302	434
750	1303	432
751	1305	430
752	1307	428
753	1308	427
754	1310	425
755	1311	423
756	1312	421
757	1313	419
758	1314	417
759	1316	415
760	1317	413
761	1318	411
762	1321	410
763	1322	408
764	1324	406
765	1325	404
766	1326	403
767	1327	401
768	1328	399
769	1330	397
770	1331	395
771	1332	393
772	1333	391
773	1335	390
774	1337	388
775	1338	386
776	1340	384
777	1341	382
778	1342	380
779	1343	379
780	1345	377
781	1346	375
782	1348	373
783	1349	371
784	1351	370
785	1353	368
786	1354	366
787	1355	364
788	1356	362
789	1358	361
790	1359	359
791	1361	357
792	1362	355
793	1363	353
794	1364	351
795	1366	350
796	1368	348
797	1369	346
798	1370	344
799	1372	343
800	1373	341
801	1374	339
802	1376	337
803	1377	335
804	1379	334
805	1381	332
806	1383	330
807	1384	328
808	1385	327
809	1387	325
810	1388	323
811	1389	321
812	1391	319
813	1392	318
814	1394	316
815	1396	314
816	1397	313
817	1398	311
818	1400	309
819	1401	307
820	1403	305
821	1404	304
822	1406	302
823	1408	300
824	1409	298
825	1410	297
826	1412	295
827	1413	293
828	1415	291
829	1416	290
830	1417	288
831	1419	286
832	1420	284
833	1421	282
834	1423	281
835	1424	279
836	1426	277
837	1429	276
838	1430	274
839	1432	272
840	1433	271
841	1434	269
842	1436	267
843	1438	265
844	1439	264
845	1441	262
846	1443	260
847	1444	258
848	1445	257
849	1447	255
850	1448	253
851	1450	251
852	1451	250
853	1452	248
854	1453	246
855	1454	244
856	1456	243
857	1458	241
858	1459	239
859	1460	237
860	1462	236
861	1463	234
862	1465	232
863	1467	230
864	1468	229
865	1470	227
866	1472	225
867	1473	224
868	1475	222
869	1476	220
870	1478	218
871	1480	217
872	1481	215
873	1483	213
874	1485	212
875	1487	210
876	1489	208
877	1491	207
878	1492	205
879	1493	203
880	1495	202
881	1497	200
882	1498	198
883	1500	196
884	1501	195
885	1503	193
886	1505	191
887	1506	190
888	1508	188
889	1510	186
890	1511	184
891	1513	183
892	1515	181
893	1517	179
894	1518	178
895	1521	176
896	1522	174
897	1523	173
898	1525	171
899	1526	169
900	1528	167
901	1529	166
902	1531	164
903	1532	162
904	1534	161
905	1535	159
906	1537	157
907	1538	155
908	1540	154
909	1541	152
910	1542	150
911	1543	148
912	1545	147
913	1546	145
914	1548	143
915	1550	142
916	1551	140
917	1553	138
918	1554	137
919	1555	135
920	1557	133
921	1559	131
922	1560	130
923	1561	128
924	1563	126
925	1565	125
926	1567	123
927	1569	121
928	1570	120
929	1572	118
930	1573	116
931	1574	114
932	1575	113
933	1577	111
934	1579	109
935	1581	108
936	1583	106
937	1585	104
938	1586	103
939	1587	101
940	1589	99
941	1591	98
942	1593	96
943	1595	94
944	1597	92
945	1598	91
946	1600	89
947	1602	87
948	1603	86
949	1604	84
950	1606	82
951	1608	81
952	1610	79
953	1611	77
954	1613	76
955	1615	74
956	1616	72
957	1618	70
958	1619	69
959	1621	67
960	1623	65
961	1625	64
962	1627	62
963	1628	60
964	1630	59
965	1631	57
966	1633	55
967	1634	54
968	1635	52
969	1637	50
970	1638	48
971	1640	47
972	1642	45
973	1644	43
974	1649	42
975	1651	40
976	1654	38
977	1656	37
978	1657	35
979	1659	33
980	1660	32
981	1662	30
982	1663	28
983	1665	27
984	1667	25
985	1669	23
986	1670	22
987	1672	20
988	1673	18
989	1674	16
990	1676	15
991	1678	13
992	1679	11
993	1681	10
994	1682	8
995	1684	6
996	1685	5
997	1687	3
998	1689	1
999	1691	0
